iR,iZ,start,length
13,7,527000,1000
13,8,528000,1000
13,9,529000,1000
13,10,530000,1000
13,11,531000,1000
13,12,532000,1000
13,13,533000,1000
13,14,534000,1000
13,15,535000,1000
13,16,536000,1000
13,17,537000,1000
13,18,538000,1000
13,19,539000,1000
13,20,540000,1000
13,21,541000,1000
13,22,542000,1000
13,23,543000,1000
13,24,544000,1000
13,25,545000,1000
13,26,546000,1000
13,27,547000,1000
13,28,548000,1000
13,29,549000,1000
13,30,550000,1000
13,31,551000,1000
13,32,552000,1000
13,33,553000,1000
13,34,554000,1000
13,35,555000,1000
13,36,556000,1000
13,37,557000,1000
13,38,558000,1000
13,39,559000,1000
14,0,560000,1000
14,1,561000,1000
14,2,562000,1000
14,3,563000,1000
14,4,564000,1000
14,5,565000,1000
14,6,566000,1000
14,7,567000,1000
14,8,568000,1000
14,9,569000,1000
14,10,570000,1000
14,11,571000,1000
14,12,572000,1000
14,13,573000,1000
14,14,574000,1000
14,15,575000,1000
14,16,576000,1000
14,17,577000,1000
14,18,578000,1000
14,19,579000,1000
14,20,580000,1000
14,21,581000,1000
14,22,582000,1000
14,23,583000,1000
14,24,584000,1000
14,25,585000,1000
14,26,586000,1000
14,27,587000,1000
14,28,588000,1000
14,29,589000,1000
14,30,590000,1000
14,31,591000,1000
14,32,592000,1000
14,33,593000,1000
14,34,594000,1000
14,35,595000,1000
14,36,596000,1000
14,37,597000,1000
14,38,598000,1000
14,39,599000,1000
15,0,600000,1000
15,1,601000,1000
15,2,602000,1000
15,3,603000,1000
15,4,604000,1000
15,5,605000,1000
15,6,606000,1000
15,7,607000,1000
15,8,608000,1000
15,9,609000,1000
15,10,610000,1000
15,11,611000,1000
15,12,612000,1000
15,13,613000,1000
15,14,614000,1000
15,15,615000,1000
15,16,616000,1000
15,17,617000,1000
15,18,618000,1000
15,19,619000,1000
15,20,620000,1000
15,21,621000,1000
15,22,622000,1000
15,23,623000,1000
15,24,624000,1000
15,25,625000,1000
15,26,626000,1000
15,27,627000,1000
15,28,628000,1000
15,29,629000,1000
15,30,630000,1000
15,31,631000,1000
15,32,632000,1000
15,33,633000,1000
15,34,634000,1000
15,35,635000,1000
15,36,636000,1000
15,37,637000,1000
15,38,638000,1000
15,39,639000,1000
16,0,640000,1000
16,1,641000,1000
16,2,642000,1000
16,3,643000,1000
16,4,644000,1000
16,5,645000,1000
16,6,646000,1000
16,7,647000,1000
16,8,648000,1000
16,9,649000,1000
16,10,650000,1000
16,11,651000,1000
16,12,652000,1000
16,13,653000,1000
16,14,654000,1000
16,15,655000,1000
16,16,656000,1000
16,17,657000,1000
16,18,658000,1000
16,19,659000,1000
16,20,660000,1000
16,21,661000,1000
16,22,662000,1000
16,23,663000,1000
16,24,664000,1000
16,25,665000,1000
16,26,666000,1000
16,27,667000,1000
16,28,668000,1000
16,29,669000,1000
16,30,670000,1000
16,31,671000,1000
16,32,672000,1000
16,33,673000,1000
16,34,674000,1000
16,35,675000,1000
16,36,676000,1000
16,37,677000,1000
16,38,678000,1000
16,39,679000,1000
17,0,680000,1000
17,1,681000,1000
17,2,682000,1000
17,3,683000,1000
17,4,684000,1000
17,5,685000,1000
17,6,686000,1000
17,7,687000,1000
17,8,688000,1000
17,9,689000,1000
17,10,690000,1000
17,11,691000,1000
17,12,692000,1000
17,13,693000,1000
17,14,694000,1000
17,15,695000,1000
17,16,696000,1000
17,17,697000,1000
17,18,698000,1000
17,19,699000,1000
17,20,700000,1000
17,21,701000,1000
17,22,702000,1000
17,23,703000,1000
17,24,704000,1000
17,25,705000,1000
17,26,706000,1000
17,27,707000,1000
17,28,708000,1000
17,29,709000,1000
17,30,710000,1000
17,31,711000,1000
17,32,712000,1000
17,33,713000,1000
17,34,714000,1000
17,35,715000,1000
17,36,716000,1000
17,37,717000,1000
17,38,718000,1000
17,39,719000,1000
18,0,720000,1000
18,1,721000,1000
18,2,722000,1000
18,3,723000,1000
18,4,724000,1000
18,5,725000,1000
18,6,726000,1000
18,7,727000,1000
18,8,728000,1000
18,9,729000,1000
18,10,730000,1000
18,11,731000,1000
18,12,732000,1000
18,13,733000,1000
18,14,734000,1000
18,15,735000,1000
18,16,736000,1000
18,17,737000,1000
18,18,738000,1000
18,19,739000,1000
18,20,740000,1000
18,21,741000,1000
18,22,742000,1000
18,23,743000,1000
18,24,744000,1000
18,25,745000,1000
18,26,746000,1000
18,27,747000,1000
18,28,748000,1000
18,29,749000,1000
18,30,750000,1000
18,31,751000,1000
18,32,752000,1000
18,33,753000,1000
18,34,754000,1000
18,35,755000,1000
18,36,756000,1000
18,37,757000,1000
18,38,758000,1000
18,39,759000,1000
19,0,760000,1000
19,1,761000,1000
19,2,762000,1000
19,3,763000,1000
19,4,764000,1000
19,5,765000,1000
19,6,766000,1000
19,7,767000,1000
19,8,768000,1000
19,9,769000,1000
19,10,770000,1000
19,11,771000,1000
19,12,772000,1000
19,13,773000,1000
19,14,774000,1000
19,15,775000,1000
19,16,776000,1000
19,17,777000,1000
19,18,778000,1000
19,19,779000,1000
19,20,780000,1000
19,21,781000,1543
19,22,782543,2199
19,23,784742,1959
19,24,786701,1571
19,25,788272,1000
19,26,789272,1000
19,27,790272,1000
19,28,791272,1000
19,29,792272,1000
19,30,793272,1000
19,31,794272,1000
19,32,795272,1000
19,33,796272,1000
19,34,797272,1000
19,35,798272,1000
19,36,799272,1000
19,37,800272,1000
19,38,801272,1000
19,39,802272,1000
20,0,803272,1000
20,1,804272,1000
20,2,805272,1000
20,3,806272,1000
20,4,807272,1000
20,5,808272,1000
20,6,809272,1000
20,7,810272,1000
20,8,811272,1000
20,9,812272,1000
20,10,813272,1000
20,11,814272,1000
20,12,815272,1000
20,13,816272,1000
20,14,817272,1000
20,15,818272,1331
20,16,819603,1949
20,17,821552,2049
20,18,823601,1251
20,19,824852,1000
20,20,825852,1043
20,21,826895,2414
20,22,829309,2775
20,23,832084,2395
20,24,834479,1940
20,25,836419,1202
20,26,837621,1000
20,27,838621,1000
20,28,839621,1000
20,29,840621,1000
20,30,841621,1000
20,31,842621,1000
20,32,843621,1000
20,33,844621,1000
20,34,845621,1000
20,35,846621,1000
20,36,847621,1000
20,37,848621,1000
20,38,849621,1000
20,39,850621,1000
21,0,851621,1000
21,1,852621,1000
21,2,853621,1000
21,3,854621,1000
21,4,855621,1000
21,5,856621,1000
21,6,857621,1000
21,7,858621,1000
21,8,859621,1000
21,9,860621,1000
21,10,861621,1000
21,11,862621,1000
21,12,863621,1000
21,13,864621,1000
21,14,865621,1000
21,15,866621,1000
21,16,867621,1000
21,17,868621,1000
21,18,869621,1000
21,19,870621,1000
21,20,871621,1063
21,21,872684,1016
21,22,873700,1272
21,23,874972,1286
21,24,876258,1186
21,25,877444,1000
21,26,878444,1000
21,27,879444,1000
21,28,880444,1000
21,29,881444,1000
21,30,882444,1000
21,31,883444,1000
21,32,884444,1000
21,33,885444,1000
21,34,886444,1000
21,35,887444,1000
21,36,888444,1000
21,37,889444,1000
21,38,890444,1000
21,39,891444,1000
22,0,892444,1000
22,1,893444,1000
22,2,894444,1000
22,3,895444,1000
22,4,896444,1000
22,5,897444,1000
22,6,898444,1000
22,7,899444,1000
22,8,900444,1000
22,9,901444,1000
22,10,902444,1000
22,11,903444,1000
22,12,904444,1000
22,13,905444,1000
22,14,906444,1000
22,15,907444,1000
22,16,908444,1000
22,17,909444,1000
22,18,910444,1078
22,19,911522,1000
22,20,912522,1227
22,21,913749,1000
22,22,914749,1238
22,23,915987,1478
22,24,917465,1097
22,25,918562,1000
22,26,919562,1000
22,27,920562,1000
22,28,921562,1000
22,29,922562,1000
22,30,923562,1000
22,31,924562,1000
22,32,925562,1000
22,33,926562,1000
22,34,927562,1000
22,35,928562,1000
22,36,929562,1000
22,37,930562,1000
22,38,931562,1000
22,39,932562,1000
23,0,933562,1000
23,1,934562,1000
23,2,935562,1000
23,3,936562,1000
23,4,937562,1000
23,5,938562,1000
23,6,939562,1000
23,7,940562,1000
23,8,941562,1000
23,9,942562,1000
23,10,943562,1000
23,11,944562,1000
23,12,945562,1000
23,13,946562,1000
23,14,947562,1000
23,15,948562,1000
23,16,949562,1000
23,17,950562,1000
23,18,951562,1031
23,19,952593,1038
23,20,953631,1185
23,21,954816,1000
23,22,955816,1000
23,23,956816,1000
23,24,957816,1458
23,25,959274,1014
23,26,960288,1000
23,27,961288,1000
23,28,962288,1000
23,29,963288,1000
23,30,964288,1000
23,31,965288,1000
23,32,966288,1000
23,33,967288,1000
23,34,968288,1000
23,35,969288,1000
23,36,970288,1000
23,37,971288,1000
23,38,972288,1000
23,39,973288,1000
24,0,974288,1000
24,1,975288,1000
24,2,976288,1000
24,3,977288,1000
24,4,978288,1000
24,5,979288,1000
24,6,980288,1000
24,7,981288,1000
24,8,982288,1000
24,9,983288,1000
24,10,984288,1000
24,11,985288,1000
24,12,986288,1000
24,13,987288,1000
24,14,988288,1000
24,15,989288,1000
24,16,990288,1000
24,17,991288,1000
24,18,992288,1000
24,19,993288,1000
24,20,994288,1097
24,21,995385,1000
24,22,996385,1000
24,23,997385,1000
24,24,998385,1000
24,25,999385,1000
24,26,1000385,1000
24,27,1001385,1000
24,28,1002385,1000
24,29,1003385,1000
24,30,1004385,1000
24,31,1005385,1000
24,32,1006385,1000
24,33,1007385,1000
24,34,1008385,1000
24,35,1009385,1000
24,36,1010385,1000
24,37,1011385,1000
24,38,1012385,1000
24,39,1013385,1000
25,0,1014385,1000
25,1,1015385,1000
25,2,1016385,1000
25,3,1017385,1000
25,4,1018385,1000
25,5,1019385,1000
25,6,1020385,1000
25,7,1021385,1000
25,8,1022385,1000
25,9,1023385,1000
25,10,1024385,1000
25,11,1025385,1000
25,12,1026385,1000
25,13,1027385,1000
25,14,1028385,1000
25,15,1029385,1000
25,16,1030385,1000
25,17,1031385,1000
25,18,1032385,1000
25,19,1033385,1000
25,20,1034385,1000
25,21,1035385,1000
25,22,1036385,1000
25,23,1037385,1000
25,24,1038385,1000
25,25,1039385,1000
25,26,1040385,1000
25,27,1041385,1000
25,28,1042385,1000
25,29,1043385,1000
25,30,1044385,1000
25,31,1045385,1000
25,32,1046385,1000
25,33,1047385,1000
25,34,1048385,1000
25,35,1049385,1000
25,36,1050385,1000
25,37,1051385,1000
25,38,1052385,1000
25,39,1053385,1000
26,0,1054385,1000
26,1,1055385,1000
26,2,1056385,1000
26,3,1057385,1000
26,4,1058385,1000
26,5,1059385,1000
26,6,1060385,1000
26,7,1061385,1000
26,8,1062385,1000
26,9,1063385,1000
26,10,1064385,1000
26,11,1065385,1000
26,12,1066385,1000
26,13,1067385,1000
26,14,1068385,1000
26,15,1069385,1000
26,16,1070385,1000
26,17,1071385,1000
26,18,1072385,1000
26,19,1073385,1000
26,20,1074385,1000
26,21,1075385,1000
26,22,1076385,1000
26,23,1077385,1000
26,24,1078385,1000
26,25,1079385,1000
26,26,1080385,1000
26,27,1081385,1000
26,28,1082385,1000
26,29,1083385,1000
26,30,1084385,1000
26,31,1085385,1000
26,32,1086385,1000
26,33,1087385,1000
26,34,1088385,1000
26,35,1089385,1000
26,36,1090385,1000
26,37,1091385,1000
26,38,1092385,1000
26,39,1093385,1000
27,0,1094385,1000
27,1,1095385,1000
27,2,1096385,1000
27,3,1097385,1000
27,4,1098385,1000
27,5,1099385,1000
